mpn	name	status	type	wifi	bluetooth	threadZigbee	operatingTemp	gpio	flash	sram	rom	psram	freq	dimensions	spq	moq	preFirmware	idfSupports	voltageRange
																			
ESP32-C5-WROOM-1-N4	ESP32-C5-WROOM-1	Sample	Module	IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.0	Yes	-40 ~ 85	22	4	384	320	0	240	18*27.5*3.3	650	3250	NO		3.0 ~ 3.6
ESP32-C5-WROOM-1-N8R4	ESP32-C5-WROOM-1	Sample	Module	IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.0	Yes	-40 ~ 85	22	8	384	320	4	240	18*27.5*3.3	650	3250	NO		3.0 ~ 3.6
ESP32-C5-WROOM-1-N16R4	ESP32-C5-WROOM-1	Sample	Module	IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.0	Yes	-40 ~ 85	22	16	384	320	4	240	18*27.5*3.3	650	3250	NO		3.0 ~ 3.6
ESP32-S3-WROOM-1-N4	ESP32-S3-WROOM-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	36	"4, Quad"	512	384	"0, Quad"	240	18*25.5*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1-N8	ESP32-S3-WROOM-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	36	"8, Quad"	512	384	"0, Quad"	240	18*25.5*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1-N16	ESP32-S3-WROOM-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	36	"16, Quad"	512	384	"0, Quad"	240	18*25.5*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1-N4R8	ESP32-S3-WROOM-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 65	33	"4, Quad"	512	384	"8, Octal"	240	18*25.5*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1-N8R8	ESP32-S3-WROOM-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 65	33	"8, Quad"	512	384	"8, Octal"	240	18*25.5*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1-N16R8	ESP32-S3-WROOM-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 65	33	"16, Quad"	512	384	"8, Octal"	240	18*25.5*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1-N16R16VA	ESP32-S3-WROOM-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 65	33	"16, Quad"	512	384	"16, Octal"	240	18*25.5*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1-N4R2	ESP32-S3-WROOM-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	36	"4, Quad"	512	384	"2, Quad"	240	18*25.5*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1-N8R2	ESP32-S3-WROOM-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	36	"8, Quad"	512	384	"2, Quad"	240	18*25.5*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
